geography,subsector
16061,mining
16063,construction
16063,mining
16065,mining
16067,construction
16067,mining
16069,construction
16069,mining
16071,construction
16071,mining
16073,construction
16073,mining
16075,construction
16075,mining
16077,construction
16077,mining
16079,construction
16079,mining
16081,construction
16081,mining
16083,mining
16085,mining
16087,construction
16087,mining
17003,construction
17005,construction
17007,construction
17007,mining
17009,construction
17013,construction
17015,construction
17017,construction
17021,construction
17023,construction
17025,construction
17031,mining
17033,construction
17035,construction
17037,mining
17039,construction
17041,construction
17043,mining
17045,construction
17047,construction
17049,construction
17049,mining
17051,construction
17053,construction
17053,mining
17055,construction
17057,construction
17059,construction
17061,construction
17065,construction
17067,construction
17069,construction
17071,construction
17073,construction
17075,construction
17075,mining
17079,construction
17081,construction
17083,construction
17085,construction
17087,construction
17089,mining
17091,mining
17093,mining
17097,mining
17101,construction
17103,mining
17107,construction
17111,mining
17117,construction
17121,construction
17123,construction
17125,construction
17127,construction
17129,construction
17131,construction
17137,construction
17139,construction
17141,mining
17145,construction
17147,construction
17149,construction
17151,construction
17153,construction
17155,construction
17157,construction
17159,construction
17165,construction
17169,construction
17171,construction
17173,construction
17175,construction
17177,construction
17177,mining
17181,construction
17181,mining
17183,construction
17185,construction
17187,construction
17189,construction
17191,construction
17193,construction
17195,construction
17201,mining
17203,construction
18001,construction
18001,mining
18003,mining
18005,construction
18005,mining
18007,construction
18007,mining
18009,construction
18009,mining
18011,mining
18013,construction
18013,mining
18015,construction
18015,mining
18017,construction
18017,mining
18019,mining
18021,construction
18023,construction
18025,construction
18025,mining
18027,construction
18029,mining
18031,mining
18033,mining
18035,mining
18037,construction
18039,mining
18041,construction
18041,mining
18043,mining
18045,construction
18047,construction
18047,mining
18049,construction
18049,mining
18053,mining
18055,construction
18057,mining
18059,mining
18061,mining
18063,mining
18065,construction
18065,mining
18067,mining
18069,mining
18071,construction
18071,mining
18073,construction
18073,mining
18075,construction
18075,mining
18079,construction
18079,mining
18081,mining
18083,construction
18085,mining
18087,construction
18087,mining
18091,mining
18093,construction
18093,mining
18095,mining
18097,mining
18099,mining
18101,construction
18103,construction
18103,mining
18105,mining
18107,construction
18107,mining
18109,construction
18109,mining
18111,construction
18111,mining
18113,mining
18115,construction
18115,mining
18117,construction
18117,mining
18119,construction
18121,construction
18123,construction
18125,construction
18127,mining
18129,construction
18129,mining
18131,construction
18131,mining
18133,construction
18133,mining
18135,construction
18135,mining
18137,construction
18137,mining
18139,mining
18141,mining
18143,construction
18143,mining
18145,mining
18147,construction
18147,mining
18149,construction
18149,mining
18151,construction
18151,mining
18155,construction
18155,mining
18157,mining
18159,mining
18161,construction
18161,mining
18165,construction
18169,construction
18169,mining
18171,construction
18175,construction
18175,mining
18177,mining
18179,construction
18179,mining
18181,construction
18181,mining
19001,construction
19001,mining
19003,construction
19003,mining
19005,construction
19005,mining
19007,construction
19007,mining
19009,construction
19009,mining
19011,construction
19011,mining
19013,mining
19015,mining
19017,mining
19019,construction
19019,mining
19021,construction
19021,mining
19023,construction
19023,mining
19025,construction
19025,mining
19027,construction
19027,mining
19029,construction
19029,mining
19031,construction
19031,mining
19033,mining
19035,construction
19035,mining
19037,construction
19037,mining
19039,construction
19039,mining
19041,construction
19041,mining
19043,construction
19043,mining
19045,mining
19047,construction
19047,mining
19049,mining
19051,construction
19051,mining
19053,construction
19053,mining
19055,construction
19055,mining
19057,construction
19057,mining
19059,mining
19061,mining
19063,construction
19063,mining
19065,construction
19065,mining
19067,construction
19067,mining
19069,construction
19069,mining
19071,construction
19071,mining
19073,construction
19073,mining
19075,construction
19075,mining
19077,construction
19077,mining
19079,construction
19079,mining
19081,construction
19081,mining
19083,mining
19085,construction
19085,mining
19087,construction
19087,mining
19089,construction
19089,mining
19091,construction
19091,mining
19093,construction
19093,mining
19095,construction
19095,mining
19097,construction
19097,mining
19099,mining
19101,mining
19103,mining
19105,construction
19105,mining
19107,construction
19107,mining
19109,construction
19109,mining
19111,construction
19111,mining
19113,mining
19115,construction
19115,mining
19117,construction
19117,mining
19119,construction
19119,mining
19121,construction
19121,mining
19123,construction
19123,mining
19125,construction
19125,mining
19127,mining
19129,mining
19131,construction
19131,mining
19133,construction
19133,mining
19135,construction
19137,construction
19137,mining
19139,construction
19139,mining
19141,construction
19141,mining
19143,construction
19143,mining
19145,construction
19145,mining
19147,construction
